DATE:,2017/12/3 19:54,,,,,,,,,,,,
TOOL:,DATE,,,,,,,,,,,,
,,No.,USECASE NAME,IS IN BENCHMARKS,IS IN SCRIPTFILE,TOTAL,FOUNDED,MISSED,EXTRA,PR,FNR,FPR,OVERHEAD
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testRace11,1,correctly found,testRace/TestRace11.java;testRace/TestRace11.java,47,51,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testRace13,1,missing,;/;,41,47,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,sor,1,correctly found,benchmarks/sor/Sor.java;benchmarks/sor/Sor.java,166,212,null,null,,,
,,,,2,correctly found,benchmarks/sor/Sor.java;benchmarks/sor/Sor.java,147,231,null,null,,,
,,,,3,missing,benchmarks.EDU.oswego.cs.dl.util.concurrent.CyclicBarrier,229,247,null,null,,,
,,,,4,additional,benchmarks/sor/Sor.java;benchmarks/sor/Sor.java,44,231,null,null,,,
,,,,5,additional,benchmarks/sor/Sor.java;benchmarks/sor/Sor.java,45,166,null,null,,,
,,,,6,additional,benchmarks/sor/Sor.java;benchmarks/sor/Sor.java,45,231,null,null,,,
,,,,7,additional,benchmarks/sor/Sor.java;benchmarks/sor/Sor.java,44,166,null,null,,,
,,,,8,additional,benchmarks/sor/Sor.java;benchmarks/sor/Sor.java,36,166,null,null,,,
,,,,9,additional,benchmarks/sor/Sor.java;benchmarks/sor/Sor.java,35,231,null,null,,,
,,,,10,additional,benchmarks/sor/Sor.java;benchmarks/sor/Sor.java,36,231,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,cyclicDemo,1,correctly found,benchmarks/testcases/IncThread.java;benchmarks/testcases/IncThread.java,20,20,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,JGFRayTracerBenchSizeA,1,correctly found,benchmarks/raytracer/JGFRayTracerBench.java;benchmarks/raytracer/JGFRayTracerBench.java,175,175,null,null,,,
,,,,2,missing,;/;,65,76,null,null,,,
,,,,3,missing,;/;,76,78,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,simpleExample,1,missing,;/;,21,21,null,null,,,
,,,,2,missing,;/;,24,24,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testAtomicity1,1,correctly found,benchmarks/testcases/TestAtomicity1.java;benchmarks/testcases/TestAtomicity1.java,18,24,null,null,,,
,,,,2,missing,;/;,18,25,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testAtomicity4,1,correctly found,benchmarks/testcases/TestAtomicity4.java;benchmarks/testcases/TestAtomicity4.java,25,43,null,null,,,
,,,,2,missing,;/;,25,44,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testAtomicity6,1,correctly found,benchmarks/testcases/TestAtomicity6.java;benchmarks/testcases/TestAtomicity6.java,20,30,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testAtomicity7,1,correctly found,benchmarks/testcases/TestAtomicity7.java;benchmarks/testcases/TestAtomicity7.java,18,29,null,null,,,
,,,,2,correctly found,benchmarks/testcases/TestAtomicity7.java;benchmarks/testcases/TestAtomicity7.java,18,30,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testAtomicity8,1,correctly found,benchmarks/testcases/TestAtomicity8.java;benchmarks/testcases/TestAtomicity8.java,20,34,null,null,,,
,,,,2,correctly found,benchmarks/testcases/TestAtomicity8.java;benchmarks/testcases/TestAtomicity8.java,21,26,null,null,,,
,,,,3,correctly found,benchmarks/testcases/TestAtomicity8.java;benchmarks/testcases/TestAtomicity8.java,27,35,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testAtomicity9,1,correctly found,benchmarks/testcases/TestAtomicity9.java;benchmarks/testcases/TestAtomicity9.java,36,57,null,null,,,
,,,,2,correctly found,benchmarks/testcases/TestAtomicity9.java;benchmarks/testcases/TestAtomicity9.java,30,62,null,null,,,
,,,,3,correctly found,benchmarks/testcases/TestAtomicity9.java;benchmarks/testcases/TestAtomicity9.java,45,67,null,null,,,
,,,,4,correctly found,benchmarks/testcases/TestAtomicity9.java;benchmarks/testcases/TestAtomicity9.java,31,38,null,null,,,
,,,,5,correctly found,benchmarks/testcases/TestAtomicity9.java;benchmarks/testcases/TestAtomicity9.java,28,55,null,null,,,
,,,,6,correctly found,benchmarks/testcases/TestAtomicity9.java;benchmarks/testcases/TestAtomicity9.java,29,56,null,null,,,
,,,,7,correctly found,benchmarks/testcases/TestAtomicity9.java;benchmarks/testcases/TestAtomicity9.java,47,63,null,null,,,
,,,,8,correctly found,benchmarks/testcases/TestAtomicity9.java;benchmarks/testcases/TestAtomicity9.java,37,44,null,null,,,
,,,,9,correctly found,benchmarks/testcases/TestAtomicity9.java;benchmarks/testcases/TestAtomicity9.java,39,46,null,null,,,
,,,,10,correctly found,benchmarks/testcases/TestAtomicity9.java;benchmarks/testcases/TestAtomicity9.java,36,66,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testAtomicity11,1,correctly found,benchmarks/testcases/TestAtomicity11.java;benchmarks/testcases/TestAtomicity11.java,18,28,null,null,,,
,,,,2,correctly found,benchmarks/testcases/TestAtomicity11.java;benchmarks/testcases/TestAtomicity11.java,18,29,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testAtomicity12,1,correctly found,benchmarks/testcases/TestAtomicity12.java;benchmarks/testcases/TestAtomicity12.java,18,37,null,null,,,
,,,,2,correctly found,benchmarks/testcases/TestAtomicity12.java;benchmarks/testcases/TestAtomicity12.java,18,38,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testAtomicity13,1,correctly found,benchmarks/testcases/TestAtomicity13.java;benchmarks/testcases/TestAtomicity13.java,23,37,null,null,,,
,,,,2,correctly found,benchmarks/testcases/TestAtomicity13.java;benchmarks/testcases/TestAtomicity13.java,18,41,null,null,,,
,,,,3,missing,;/;,18,36,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,testAtomicity14,1,correctly found,benchmarks/testcases/TestAtomicity14.java;benchmarks/testcases/TestAtomicity14.java,24,29,null,null,,,
,,,,2,correctly found,benchmarks/testcases/TestAtomicity14.java;benchmarks/testcases/TestAtomicity14.java,23,41,null,null,,,
,,,,3,correctly found,benchmarks/testcases/TestAtomicity14.java;benchmarks/testcases/TestAtomicity14.java,21,30,null,null,,,
,,,,4,correctly found,benchmarks/testcases/TestAtomicity14.java;benchmarks/testcases/TestAtomicity14.java,22,42,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,account,1,correctly found,account/Account.java;account/Account.java,98,98,null,null,,,
,,,,2,correctly found,account/Account.java;account/Account.java,67,97,null,null,,,
,,,,3,missing,;/;,76,98,null,null,,,
,,,,4,missing,;/;,75,98,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,airlinetickets,1,correctly found,airlinetickets/Airlinetickets.java;airlinetickets/Airlinetickets.java,104,106,null,null,,,
,,,,2,correctly found,airlinetickets/Airlinetickets.java;airlinetickets/Airlinetickets.java,104,104,null,null,,,
,,,,3,correctly found,airlinetickets/Airlinetickets.java;airlinetickets/Airlinetickets.java,63,104,null,null,,,
,,,,4,correctly found,airlinetickets/Airlinetickets.java;airlinetickets/Airlinetickets.java,62,104,null,null,,,
,,,,5,correctly found,airlinetickets/Airlinetickets.java;airlinetickets/Airlinetickets.java,62,106,null,null,,,
,,,,6,missing,;/;,78,104,null,null,,,
,,,,7,missing,;/;,107,107,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,boundedbuffer,1,correctly found,boundedbuffer/BoundedBuffer.java;boundedbuffer/BoundedBuffer.java,294,400,null,null,,,
,,,,2,correctly found,boundedbuffer/Buffer.java;boundedbuffer/Buffer.java,100,128,null,null,,,
,,,,3,correctly found,boundedbuffer/BoundedBuffer.java;boundedbuffer/BoundedBuffer.java,302,381,null,null,,,
,,,,4,correctly found,boundedbuffer/BoundedBuffer.java;boundedbuffer/BoundedBuffer.java,381,400,null,null,,,
,,,,5,correctly found,boundedbuffer/BoundedBuffer.java;boundedbuffer/BoundedBuffer.java,291,400,null,null,,,
,,,,6,correctly found,boundedbuffer/BoundedBuffer.java;boundedbuffer/BoundedBuffer.java,302,400,null,null,,,
,,,,7,correctly found,boundedbuffer/BoundedBuffer.java;boundedbuffer/BoundedBuffer.java,294,381,null,null,,,
,,,,8,correctly found,boundedbuffer/BoundedBuffer.java;boundedbuffer/BoundedBuffer.java,381,381,null,null,,,
,,,,9,correctly found,boundedbuffer/Buffer.java;boundedbuffer/Buffer.java,100,150,null,null,,,
,,,,10,correctly found,boundedbuffer/BoundedBuffer.java;boundedbuffer/BoundedBuffer.java,291,381,null,null,,,
,,,,11,correctly found,boundedbuffer/Buffer.java;boundedbuffer/Buffer.java,104,150,null,null,,,
,,,,12,missing,;/;,104,128,null,null,,,
,,,,13,additional,boundedbuffer/BoundedBuffer.java;boundedbuffer/BoundedBuffer.java,303,381,null,null,,,
,,,NAME,No.,STATE,CLASS,Line1,Line2,VARIABLE,DETAILs,,,
,,,bubblesort,1,correctly found,bubblesort/OneBubble.java;bubblesort/OneBubble.java,51,63,null,null,,,
,,,,2,correctly found,bubblesort/OneBubble.java;bubblesort/BubbleSortImpl.java,63,99,null,null,,,
,,,,3,correctly found,bubblesort/OneBubble.java;bubblesort/Reporter.java,63,126,null,null,,,
,,,,4,correctly found,bubblesort/OneBubble.java;bubblesort/Reporter.java,64,126,null,null,,,
,,,,5,missing,;/;,51,64,null,null,,,
,,,,6,missing,;/;,64,99,null,null,,,
,,,,7,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,41,51,null,null,,,
,,,,8,additional,bubblesort/BubbleSortImpl.java;bubblesort/BubbleSortImpl.java,21,99,null,null,,,
,,,,9,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,40,63,null,null,,,
,,,,10,additional,bubblesort/BubbleSort.java;bubblesort/BubbleSortImpl.java,41,99,null,null,,,
,,,,11,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,60,63,null,null,,,
,,,,12,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,60,64,null,null,,,
,,,,13,additional,bubblesort/BubbleSort.java;bubblesort/BubbleSortImpl.java,61,99,null,null,,,
,,,,14,additional,bubblesort/BubbleSort.java;bubblesort/Reporter.java,41,126,null,null,,,
,,,,15,additional,bubblesort/BubbleSort.java;bubblesort/Reporter.java,61,126,null,null,,,
,,,,16,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,42,51,null,null,,,
,,,,17,additional,bubblesort/BubbleSortImpl.java;bubblesort/BubbleSortImpl.java,46,99,null,null,,,
,,,,18,additional,bubblesort/OneBubble.java;bubblesort/BubbleSort.java,51,83,null,null,,,
,,,,19,additional,bubblesort/OneBubble.java;bubblesort/BubbleSort.java,51,84,null,null,,,
,,,,20,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,41,63,null,null,,,
,,,,21,additional,bubblesort/BubbleSort.java;bubblesort/BubbleSortImpl.java,42,99,null,null,,,
,,,,22,additional,bubblesort/BubbleSortImpl.java;bubblesort/OneBubble.java,39,51,null,null,,,
,,,,23,additional,bubblesort/BubbleSort.java;bubblesort/BubbleSortImpl.java,19,99,null,null,,,
,,,,24,additional,bubblesort/BubbleSort.java;bubblesort/Reporter.java,42,126,null,null,,,
,,,,25,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,47,51,null,null,,,
,,,,26,additional,bubblesort/BubbleSortImpl.java;bubblesort/BubbleSortImpl.java,39,99,null,null,,,
,,,,27,additional,bubblesort/BubbleSort.java;bubblesort/OneBubble.java,43,51,null,null,,,
,,,,28,additional,bubblesort/BubbleSort.java;bubblesort/BubbleSortImpl.java,47,99,null,null,,,
